Job Title,Job Function,Job Level
Global Senior Vice President Revenue Strategy and Operations,"Management,Operations,Strategy",Executive
Vice President Revenue Operations,"Management,Operations",Executive
Vice President Sales and Ad Operations,"Management,Operations,Sales",Executive
Director Network Sales,Sales,Manager
Advisor,Other,Consultant
GVP Enterprise Mobile,Other,Other
Executive Vice President,Management,Executive
Executive Vice President,Management,Executive
Chief Operating Officer | Chief Administrative Officer | Trusted Business Advisor | Strategist,"Management,Business,Operations,Strategy",Executive
Partner,Management,Executive
Senior Vice President Marketing,"Management,Marketing",Executive
Corporate Vice President CPG Strategic Partnerships,"Management,Strategy",Executive
Wealth Division Chief Execution and Innovation Officer,Management,Executive
Board of Directors,Other,Manager
Chief Digital Officer,Management,Executive
Chief Revenue Officer Vice President Chat App API Business,"Management,Business",Executive
Member of Advisory Board,Other,Consultant
Executive in Residence,Management,Executive
Chief Digital Revenue Officer,Management,Executive
Founder and Executive Chairman,Management,Executive
Operating Partner,"Management,Operations",Executive
Chief Executive Officer,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
Chief Executive Officer and Founder,Management,Executive
Executive Director Marketing,"Management,Marketing",Executive
President Lifestyle News and Sports Time Inc.,Management,Executive
Managing Partner,Management,Executive
Vice President Global Head of eCommerce,Management,Executive
Vice President-Global eCommerce and Commercial Innovation,Management,Executive
Senior Vice President Business Affairs,"Management,Business",Executive
Director of Corporate Development,Other,Manager
Vice President - Founders Bank,Management,Executive
Manager Sales Enablement,"Management,Sales",Manager
Vice President - Early Stage Banking,Management,Executive
Founder and Chief Executive Officer,Management,Executive
Fellow,Other,Other
Founder,Management,Other
Group Director - Tech Media and Telecom Verticals,Other,Manager
Director - Tech Media and Telecom Verticals,Other,Manager
Chief Marketing Officer,"Management,Marketing",Executive
Chief Marketing Officer,"Management,Marketing",Executive
General Manager Americas,Management,Manager
Managing Director Open Web Devices,Management,Manager
Managing Director Finance,"Management,Finances",Manager
Managing Director Consumer Apps and Ecosystems,Management,Manager
Managing Director Strategic Partnerships,"Management,Strategy",Executive
Managing Director Terra Networks,Management,Manager
Vice President Anti-Piracy Operations,"Management,Operations",Executive
Director Corporate Business Development and Strategy,"Business,Strategy",Manager
Junior Engagement Manager,Management,Manager
Mentor - Miller Center for Social Entrepreneurship,Entrepreneur,Other
Executive Advisor,Management,Executive
Executive Vice President and Chief Marketing Officer,"Management,Marketing",Executive
Vice President Global Marketing,"Management,Marketing",Executive
Senior Vice President Digital,Management,Executive
Global Head of Digital Bloomberg Media,Other,Other
Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Executive Recruiter,"Management,HR",Executive
Vice President—Central Region,Management,Executive
Executive Recruiter,"Management,HR",Executive
Senior Vice President Group solutions and operations,"Management,Operations",Executive
Interim Chief Executive Officer,Management,Executive
Vice President Sales Effectiveness,"Management,Sales",Executive
Director of Sales Enablement,Sales,Manager
Head - BFSI Americas,Other,Other
President and Managing Director or US and Latin America Division,Management,Executive
Board Member and Vice Chairman of the Board,Other,Other
Vice President Head of Digital and Interactive,Management,Executive
Senior Vice President National Distribution,Management,Executive
Head of Audience Development,Other,Other
Vice President Loyalty and Analtyics,Management,Executive
Director Consumer Engagement,Other,Manager
Vice President Loyalty and Analytics,"Management,Analytics",Executive
Director Consumer Marketing,Marketing,Manager
Vice President Marketing,"Management,Marketing",Executive
Director Online Marketing and Business Analysis Consumer Travel Network,"Business,Marketing",Manager
Vice President Head of Digital Optimization,Management,Executive
General Manager or Global Head of Asset Management Business,"Management,Business",Manager
Managing Partner,Management,Executive
General Manager and Global Head of IP Management Business,"Management,Business",Manager
General Manager and Global Head of IP Management Business,"Management,Business",Manager
Managing Partner,Management,Executive
Chief Product Officer,"Management,Products",Executive
Vice President - Strategy Product Management Engineering and Operations,"Engineering,Products,Management,Operations,Strategy",Executive
Managing Director Head of Financial Services Practice,"Management,Services,Finances",Manager
CMO,Other,Other
Founder and Principal,Management,Consultant
Vice President of Marketing,"Management,Marketing",Executive
Senior Director of Marketing and PR,Marketing,Manager
Director of Corporate Communications,Other,Manager
Director of Marketing Communications,Marketing,Manager
Corporate Communications Manager,Management,Manager
Vice President,Management,Executive
Account Supervisor,Other,Other
Senior Account Executive,Management,Executive
Senior Director UX,Other,Manager
Principal,Other,Consultant
Advisory Board,Other,Consultant
Vice President Sales and Business Development,"Management,Business,Sales",Executive
Advisory Board Member,Other,Consultant
President,Management,Executive
Senior Vice President Sales,"Management,Sales",Executive
Product Advisor,Products,Consultant
Director of Product Marketing,"Marketing,Products",Manager
Senior Product Manager,"Management,Products",Manager
Product Manager - Americas,"Management,Products",Manager
Analyst,Other,Analyst
Chief Operating Officer,"Management,Operations",Executive
Chief Operating Officer,"Management,Operations",Executive
Managing Director Strategy,"Management,Strategy",Manager
Chief Financial Officer,"Management,Finances",Executive
Chief Financial Officer,"Management,Finances",Executive
Senior Vice President General Counsel and Secretary,Management,Executive
Vice President of Experience,Management,Executive
Managing Vice President - Head of Big Data Transformation,Management,Executive
Vice President People and Places,Management,Executive
Vice President of Strategy,"Management,Strategy",Executive
Vice President of Corporate Communications,Management,Executive
Senior Vice President Chief Marketing Officer,"Management,Marketing",Executive
Associate General Counsel and Assistant Secretary,Consultant Services,Contributor
Senior Online Product Producer eScholastic,Products,Other
Producer or Project Manager,Management,Manager
Project Manager,Management,Manager
Web Applications Developer,Other,Other
Consultant,Consultant Services,Consultant
Vice President Product,"Management,Products",Executive
Chief Product Officer,"Management,Products",Executive
Director Learning Platform Scholastic Education,Other,Manager
Director MATH180 Scholastic Education,Other,Manager
Executive Producer Learning Platform Scholastic Education,Management,Executive
Chairman of the Board of Directors,Other,Manager
Chief Technology Officer,Management,Executive
Global Head of Digital Video and Audio Products,Products,Other
Vice President of Product,"Management,Products",Executive
Global Head of Digital Video Products,Products,Other
Head of Product Bloomberg.com Verticals,Products,Other
Head of Product Bloomberg Content Service,"Services,Products",Other
Head of Production Broadcast and Digital Video,Products,Other
Principal,Other,Consultant
Executive Vice President Client Services and Delivery,"Management,Services",Executive
Faculty,Other,Other
Managing Director,Management,Manager
Financial Consultant,"Consultant Services,Finances",Consultant
Managing Director,Management,Manager
Executive in Residence - Digital Media and Transformation,Management,Executive
President and Global CRO,Management,Executive
President,Management,Executive
Senior Vice President Sales,"Management,Sales",Executive
Chief Revenue Officer,Management,Executive
Senior Director - Global Alliances,Other,Manager
Vice President - Global System Integrators and Alliances,Management,Executive
Board of Directors,Other,Manager
Co-Founder,Management,Other
Chief Executive Officer and Co-Founder Speak Music,Management,Executive
Principal and Managing Partner,Management,Executive
Principal,Other,Consultant
Principal,Other,Consultant
Vice President Architecture,"Management,IT",Executive
Marketing Strategy Consultant,"Consultant Services,Marketing,Strategy",Consultant
Head of Client Success,Other,Other
President,Management,Executive
Contract Worker,Other,Other
Interim Chief Executive Officer,Management,Executive
Advisory Board,Other,Consultant
Founder and President,Management,Executive
Guest Instructor Center for Media Entertainment and Sports,Other,Other
Adjunct Professor,Education,Professor
President and Head Coach,Management,Executive
Vice President Strategic Partnerships,"Management,Strategy",Executive
President,Management,Executive
President and Chief Executive Officer,Management,Executive
COO/CFO,Other,Other
Head of Corporate Business Development,Business,Other
Vice President Strategic Partnerships,"Management,Strategy",Executive
Vice President Enterprise Communications,Management,Executive
Managing Partner,Management,Executive
Senior Advisor and Vice President Business Development IT Business Management,"Management,Business",Executive
Advisor,Other,Consultant
Investor and Advisor,Other,Consultant
Chief Finance Officer,"Management,Finances",Executive
Marketing and Strategy Consultant,"Consultant Services,Marketing,Strategy",Consultant
Senior Vice President Marketing Strategy NBC Entertainment,"Management,Marketing,Strategy",Executive
Chief Marketing Officer/Deputy Director Sales and Marketing,"Management,Marketing,Sales",Executive
CMO,Other,Other
Chief Marketing Officer,"Management,Marketing",Executive
Vice President of Operations,"Management,Operations",Executive
Chairman North America | Brand Development | Brand Management,Management,Other
Chief Information Officer,Management,Executive
Director Pixels and Senior Vice President Delivery Management,Management,Executive
Senior Vice President Marketing General Management,"Management,Marketing",Executive
Vice President Product and Engineering,"Management,Engineering,Products",Executive
Director Global Brand and Solutions Marketing,Marketing,Manager
Head of Marketing,Marketing,Other
Chief Marketing Officer,"Management,Marketing",Executive
Chief Marketing Officer,"Management,Marketing",Executive
Chief Executive Officer and Co-Founder,Management,Executive
Chief Executive Officer and Co-Founder,Management,Executive
Independent Director and Board Member,Other,Manager
Chief Marketing Officer and Chief Acquisition and Retention Officer,"Management,Marketing",Executive
General Manager Strategic Partnerships,"Management,Strategy",Executive
Director Partnerships,Management,Executive
Senior Director Human Resources Global Foodservice,Services,Manager
Executive Vice President Editorial Development and Operations,"Management,Operations",Executive
Chief Content Officer,Management,Executive
Research Analyst,Research,Analyst
Chief Commercial Officer,Management,Executive
Director eCommerce and Global Digital Program Management Office,Management,Manager
Retail Lead - Group Account Director,Sales,Manager
Vice President Marketing - Digital Strategy and E-Commerce,"Management,Marketing,Strategy",Executive
Vice President - Ecommerce Strategy,"Management,Strategy",Executive
Chief Revenue Officer or Principal,Management,Executive
Chief Financial Officer,"Management,Finances",Executive
Chief Technology Officer,Management,Executive
Senior Vice President Chief Technology Officer,Management,Executive
Chief Digital Officer,Management,Executive
Chief Digital Officer,Management,Executive
President DFC Online,Management,Executive
Vice President Marketing,"Management,Marketing",Executive
Vice President Global Hosting and IT Operations Interim CISO,"Management,Operations",Executive
Executive Vice President Strategy and Alliances,"Management,Strategy",Executive
Executive Vice President and Chief Revenue Officer,Management,Executive
Vice President Global Operations and Administration,"Management,Operations,Strategy",Executive
Vice President Global Director of Operations and Administration,"Management,Operations,Strategy",Executive
Chief Financial Officer,"Management,Finances",Executive
Managing Director,Management,Manager
Managing Director,Management,Manager
Board Director,Other,Manager
Co-Founder and Partner,Management,Executive
Advisory Board Member,Other,Consultant
Chief Marketing Officer,"Management,Marketing",Executive
Vice President Marketing,"Management,Marketing",Executive
Vice President Product Development,"Management,Products",Executive
Senior Vice President Human Resources,Management,Executive
Human Resource Senior Vice President,Management,Executive
Vice President of Sales,"Management,Sales",Executive
Vice President of Sales and Strategy,"Management,Sales,Strategy",Executive
Chief Operating Officer,"Management,Operations",Executive
Senior Vice President Content: Global Communications and Brand Marketing,"Management,Marketing",Executive
General Manager Senior Vice President,Management,Executive
Senior Vice President Global Network Development and Product Strategy,"Management,Products,Strategy",Executive
Vice President Network Development,Management,Executive
Director Network Development,Other,Manager
Senior Manager Distribution Services,"Management,Services",Manager
Strategic Partnership Manager,"Management,Strategy",Executive
Manager Contentzone Network,Management,Manager
Chief Operating Officer,"Management,Operations",Executive
President and Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Interim CMO,Other,Other
Marketing Consultant,"Consultant Services,Marketing",Consultant
Marketing Consultant,"Consultant Services,Marketing",Consultant
Marketing Strategist,"Marketing,Strategy",Other
Interim CMO,Other,Other
Advisory Board Member,Other,Consultant
Advisory Board Member,Other,Consultant
Vice President Marketing,"Management,Marketing",Executive
Vice President Marketing,"Management,Marketing",Executive
Senior Director of Acquisition Marketing,Marketing,Manager
Digital Health Evangelist,Other,Other
Chief Information Officer,Management,Executive
Executive Director Marketing and Enrollment,"Management,Marketing",Executive
AVP Global Strategy and Technical Operations,"Operations,Strategy",Other
Partner,Management,Executive
Advisory Board Member,Other,Consultant
Senior Director Global Solutions,Other,Manager
Senior Director | Business Technology | Through,Business,Manager
President,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
Chief Executive Officer,Management,Executive
Senior Vice President Business Development Sales and Alliances,"Management,Business,Sales",Executive
Mentor/Advisor,Other,Consultant
Head of Customer Engagement and Loyalty,Customer Services,Other
VP/General Manager Loyalty,Management,Manager
Director of Executive Operations,"Management,Operations",Executive
Senior Vice President International,Management,Executive
Vice President Financial Planning and Analysis,"Management,Finances",Executive
Vice President Sales and Marketing,"Management,Marketing,Sales",Executive
Medical Director,Other,Manager
Managing Director,Management,Manager
Senior Director Product Management,"Management,Products",Manager
Senior Director Product Management - Outlook Mobile,"Management,Products",Manager
Chief Executive Officer/Board Member,Management,Executive
Director User Experience Quidsi Inc,Other,Manager
Vice President Design,Management,Executive
Head of Design,Other,Other
Senior Director User Experience,Other,Manager
Creative and UX Director,Other,Manager
Partner and Design Director,Management,Executive
Product Management Display Ads - Google Display Network,"Management,Products",Other
Senior Director of Product Management US Marketplace,"Management,Marketing,Products",Manager
President,Management,Executive
Senior Technology Consultant,Consultant Services,Consultant
Chief Technology Officer or Managing Director,Management,Executive
Senior Vice President or Head of Infrastructure Architecture,"Management,IT",Executive
Executive Management Consultant,"Consultant Services,Management",Executive
CTO/Senior Vice President Products and Technologies,"Management,Products",Executive
Chief Digital Officer and Chief Marketing Officer,"Management,Marketing",Executive
Columnist,Other,Other
Book Author,Other,Other
Vice President and Executive Editor msnbc.com,Management,Executive
Analyst/Contributor,Other,Analyst
Author,Other,Other
Senior Strategist,Strategy,Other
Senior White House Correspondent,Other,Other
Diplomatic Correspondent Deputy Bureau Chief,Management,Executive
Correspondent,Other,Other
Vice President Product Development and Engineering,"Management,Engineering,Products",Executive
Marketing Consultant,"Consultant Services,Marketing",Consultant
Direct of Integrated Marketing,Marketing,Other
Senior Director Digital,Other,Manager
Vice President Global Commercial Information and Digital Marketing Services,"Management,Services,Marketing",Executive
Vice President People,Management,Executive
Executive Vice President Domestic Network Distribution and Marketing,"Management,Marketing",Executive
Chief Executive Officer,Management,Executive
C-Suite Advisory Consultant,Consultant Services,Consultant
Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Supply Chain Director,Other,Manager
Vice President Marketing,"Management,Marketing",Executive
Co-Founder and Partner,Management,Executive
Chief Executive Officer,Management,Executive
Senior Director of Enterprise Sales,Sales,Manager
Vice President of Sales,"Management,Sales",Executive
Global Chief Marketing Officer Executive Vice President,"Management,Marketing",Executive
Chief Executive Officer,Management,Executive
Global Chief Executive Officer,Management,Executive
Global Chief Marketing Officer Executive Vice President,"Management,Marketing",Executive
Chief Operating Officer,"Management,Operations",Executive
President and Chief Executive Officer,Management,Executive
President,Management,Executive
President and Chief Executive Officer,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
Charter Member,Other,Other
Founder Editor-in-Chief,Management,Executive
Founder Editor-in-Chief,Management,Executive
Advisory Board Member,Other,Consultant
Chief Financial Officer,"Management,Finances",Executive
General Manager - Tech Media and Telecom,Management,Manager
Chief Revenue Officer,Management,Executive
Founder and Chief Executive Officer,Management,Executive
Vice President Marketing and Communications,"Management,Marketing",Executive
Chief HR Officer,Management,Executive
Senior Vice President Global Human Resources,Management,Executive
Vice President Client Services,"Management,Services",Executive
Finance Director,Finances,Manager
Vice President Brand Marketing of Wayfair.com,"Management,Marketing",Executive
Marketing Technology and Data Cloud Advisor/Investor,Marketing,Consultant
Marketing Technology and Data Cloud Advisor,Marketing,Consultant
Executive Vice President and Investor,Management,Executive
Chief Executive Officer,Management,Executive
Senior Director,Other,Manager
Principal Owner,Other,Consultant
Vice President - DevOps and Analytics,"Management,Analytics",Executive
Senior Director II Marketing: Brand/Millennial Customer Segment,"Marketing,Customer Services",Manager
Global Executive Director,Management,Executive
Custom Solutions Director,Other,Manager
Vice President of Platform,Management,Executive
Founder Host and Writer,Management,Other
Principal,Other,Consultant
Senior Vice President - Strategy Marketing and Client Engagement,"Management,Marketing,Strategy",Executive
Executive Vice President and Chief Marketing Officer,"Management,Marketing",Executive
Chief Revenue Officer,Management,Executive
Chief Executive Officer,Management,Executive
Head of Industry Financial Services,"Services,Finances",Other
Global Chief Marketing Officer Head of Business Development,"Management,Business,Marketing",Executive
Chief Financial Officer,"Management,Finances",Executive
Chief Financial Officer,"Management,Finances",Executive
Chief Technology Officer,Management,Executive
Interim Chief Marketing Officer,"Management,Marketing",Executive
Vice President Product Marketing and Demand Generation,"Management,Marketing,Products",Executive
Vice President Marketing,"Management,Marketing",Executive
Executive Vice President and General Manager Advanced Advertising,"Management,Advertising",Executive
President The Weather Channel,Management,Executive
GM/SVP,Other,Other
President Group Publisher,Management,Executive
Founder and Chief Executive Officer,Management,Executive
President,Management,Executive
Vice President Business Development,"Management,Business",Executive
Vice President Sales- TV Analytics and Digital Activation North America,"Management,Sales,Analytics",Executive
Vice President Business Development,"Management,Business",Executive
Vice President Strategy and Business Operations,"Management,Business,Operations,Strategy",Executive
Managing Director,Management,Manager
Director Product Management,"Management,Products",Manager
Director of Category Management,Management,Manager
Co-Founder and Chief Evangelist,Management,Executive
Vice President of Marketing,"Management,Marketing",Executive
Head of Vertical Strategy,Strategy,Other
Chief Finance Officer,"Management,Finances",Executive
Chief Finance Officer,"Management,Finances",Executive
Partner,Management,Executive
Chief Finance Officer,"Management,Finances",Executive
Chief Executive Officer | President,Management,Executive
Chief Executive Officer | President,Management,Executive
General Manager Global Financial Service and Payments,"Management,Services,Finances",Manager
Chief Revenue Officer,Management,Executive
Director Investor Relations,Other,Manager
Vice President of Sales and Sales Operations,"Management,Operations,Sales",Executive
Vice President of Sales,"Management,Sales",Executive
Senior Vice President Animation Development,Management,Executive
Co-founder,Management,Other
Co-founder,Management,Other
Senior Vice President Chief Product Officer,"Management,Products",Executive
Senior Vice President Digital iHeartRadio,Management,Executive
Vice President Business Development and Strategic Partnerships,"Management,Business,Strategy",Executive
Vice President Business Development and Operations,"Management,Business,Operations",Executive
Vice President of Partnerships,Management,Executive
Vice President of Business Development,"Management,Business",Executive
Chief Finance Officer or Chief Operating Officer,"Management,Operations,Finances",Executive
Controller,Other,Other
Vice President of Information Technology,Management,Executive
Partner,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
Vice President Global Digital Marketing Solutions,"Management,Marketing",Executive
Senior Digital Advisor | Digital Transformation and Innovation,Other,Consultant
Senior Director Global Business Consulting,"Consultant Services,Business",Manager
Chief Marketing and Customer Experience Officer,"Management,Marketing,Customer Services",Executive
Vice President Global Digital Solutions,Management,Executive
Managing Director Digital Solutions,Management,Manager
Board of Directors,Other,Manager
Group Chief Information Officer,Management,Executive
Member of Advisory Board - CSLA,Other,Consultant
Chief Finance Officer,"Management,Finances",Executive
Senior Director of OEM Business Development,Business,Manager
Senior Director Native,Other,Manager
Senior Vice President International sales and business development,"Management,Business,Sales",Executive
Global Head of Product Sales and Business Development,"Business,Sales,Products",Other
General Manager EMEA,Management,Manager
Advisor,Other,Consultant
Chief Executive Officer,Management,Executive
Co-Founder Vice President Corporate Strategy and Product Development,"Management,Products,Strategy",Executive
Vice President Transactional Processing,Management,Executive
Member,Other,Other
Director Strategic Accounts EMEA,Strategy,Manager
Head of Strategic and Creative Solutions,Strategy,Other
Creative Director | Strategy.Solutions.Design.,Strategy,Manager
Managing Partner,Management,Executive
Vice President Global Channel Development - Emerging Payments,Management,Executive
Director Global Channel Development - Digital Payments,Other,Manager
Director of Business Development MasterCard Labs,Business,Manager
Business Leader Emerging Payments,Business,Manager
Product Leader Technology Assessment and Alliances,Products,Manager
Co-Founder and President,Management,Executive
Senior Vice President Chief Information Officer,Management,Executive
Senior Vice President - Business Development,"Management,Business",Executive
Vice President Global Partnerships,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
Vice President Programmatic Sales and Strategy,"Management,Sales,Strategy",Executive
Special Counsel,Other,Other
Independent Consultant,Consultant Services,Consultant
Vice President Business Development,"Management,Business",Executive
Partner and Chief Financial Officer,"Management,Finances",Executive
Financial Advisor,Finances,Consultant
Consultant,Consultant Services,Consultant
Director Global Digital Marketing,Marketing,Manager
Client Partner,Management,Executive
Principal Consultant,Consultant Services,Consultant
Founder and Chief Executive Officer,Management,Executive
Vice President Medical Information Innovation and External Partnerships,Management,Executive
Board Member,Other,Other
Chief Executive Officer and Strategic Advisor,"Management,Strategy",Executive
Entrepreneur,Entrepreneur,Other
Vice President Business Operations and Planning,"Management,Business,Operations",Executive
Assistant Treasurer,Other,Other
General Manager US Studios,Management,Manager
Senior Vice President Head of Technology Hartford Funds,Management,Executive
Senior Vice President Head of Technology Hartford Funds,Management,Executive
Vice President of Sales,"Management,Sales",Executive
Business Development,Business,Other
Advisor,Other,Consultant
C.E.O. and President,Management,Executive
Vice President Enterprise Sales,"Management,Sales",Executive
Advisor,Other,Consultant
Founder,Management,Other
Manager,Management,Manager
Manager,Management,Manager
Director,Other,Manager
Key Account Marketing Manager,"Management,Marketing",Manager
Chief Digital Officer,Management,Executive
Chief Business Officer,"Management,Business",Executive
Vice President of Operations,"Management,Operations",Executive
Partner Chief Engineering Officer,"Management,Engineering",Executive
Managing Partner,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
CMO,Other,Other
Senior Vice President and General Manager - Ecommerce and SMB,Management,Executive
Finance Manager,"Management,Finances",Manager
Vice President Corporate Marketing and Advertising,"Management,Marketing,Advertising",Executive
Chief Analytics Officer,"Management,Analytics",Executive
Advisory Board Member,Other,Consultant
Managing Director,Management,Manager
Vice President and General Manager,Management,Executive
Partner,Management,Executive
Member Board of Directors,Other,Manager
Vice President Corporate Marketing Communications and Business Development,"Management,Business,Marketing",Executive
Vice President Corporate Marketing Communications and Business Development,"Management,Business,Marketing",Executive
Mentor,Other,Other
Vice President Global Strategic Accounts,"Management,Strategy",Executive
Vice President Sales: Global Accounts Systems Poker and Online Gaming Products,"Management,Sales,Products",Executive
Global General Manager of Digital,Management,Manager
Senior Vice President Head of Business and Legal Affairs,"Management,Business",Executive
Executive Vice President and Chief Communications Officer,Management,Executive
President and Board Member,Management,Executive
Chief Strategy Officer,"Management,Strategy",Executive
Vice President Partnerships,Management,Executive
Managing Director,Management,Manager
Advisor and Acting Chief Operating Officer,"Management,Operations",Executive
Vice President Marketing,"Management,Marketing",Executive
Founder,Management,Other
Consultant - Digital and Ecommerce,Consultant Services,Consultant
Global Head of Technology Watson Advertising,Advertising,Other
Global Head of Advertising Technology,Advertising,Other
Vice President Data and Monetization Technology Strategy,"Management,Strategy",Executive
Co-Chair IAB Digital Video Committee,Other,Other
Vice President Advertising Technology Strategy,"Management,Advertising,Strategy",Executive
General Manager of BidSwitch,Management,Manager
Chief Executive Officer,Management,Executive
Chief Executive Officer,Management,Executive
Senior Vice President,Management,Executive
Head of Global Business Development and Partnerships,"Management,Business",Executive
Head of Global Business Development and Partnerships,"Management,Business",Executive
Senior Vice President Retail Partnerships,"Management,Sales",Executive
General Manager Senior Vice President,Management,Executive
Director Mobile Product Management,"Management,Products",Manager
Co-Founder | collaboration,Management,Other
Chief Human Resources Officer,Management,Executive
Chief Finance Officer,"Management,Finances",Executive
Vice President: Sales Marketing and Client Services,"Management,Services,Marketing,Sales",Executive
Chief Product Officer,"Management,Products",Executive
Senior Vice President Marketing North America,"Management,Marketing",Executive
President and Founder,Management,Executive
Marketing Director,Marketing,Manager
Senior Marketing Director,Marketing,Manager
Managing Director Demand Side Platform,Management,Manager
Managing Director Buy Side Platforms,Management,Manager
Vice President Programmatic Sales and Strategy,"Management,Sales,Strategy",Executive
Vice President Global Agency Relationships,Management,Executive
Global Vice President Programmatic Sales and Strategy,"Management,Sales,Strategy",Executive
President US Media,Management,Executive
Chief Marketing Officer,"Management,Marketing",Executive
Vice President Global Professional Services,"Management,Services",Executive
Vice President - Streamlined Customer Acquisition,"Management,Customer Services",Executive
Vice President - Streamlined Consumer Solutions,Management,Executive
Financial Strategist,"Finances,Strategy",Other
Partner Sales Representative,"Management,Sales",Executive
Principal,Other,Consultant
Executive Vice President Business Operations and Strategy Advertising Sales,"Management,Business,Sales,Operations,Advertising,Strategy",Executive
Managing Director,Management,Manager
President Head of Global Surety,Management,Executive
Partner,Management,Executive
Vice President of Sales,"Management,Sales",Executive
Advisor,Other,Consultant
President and Chief Operating Officer,"Management,Operations",Executive
President and Chief Executive Officer,Management,Executive
Senior Vice President and Chief Marketing Officer,"Management,Marketing",Executive
Vice President of Account Development and Platform Solutions Americas,Management,Executive
Of Counsel and Chief Marketing Officer,"Management,Marketing",Executive
Partner,Management,Executive
Vice President of Sales,"Management,Sales",Executive
Chief Finance Officer - Corporate Stores,"Management,Finances",Executive
Business Mentor,Business,Other
Principal,Other,Consultant
Chief Operating Officer,"Management,Operations",Executive
President Major Accounts and Canada,Management,Executive
Chief Revenue Officer,Management,Executive
Chief Revenue Officer,Management,Executive
Managing Director - Strategy and Corporate Development,"Management,Strategy",Manager
Managing Director - Strategy and Business Development S&P Capital IQ/SNL,"Management,Business,Strategy",Manager
Senior Vice President; Global Enterprise Solutions,Management,Executive
Vice President/General Manager and Head of Global Sales,"Management,Sales",Executive
GVP and General Manager Global Financial Services Cloud Sales,"Management,Services,Sales,Finances",Manager
Senior Vice President Strategy,"Management,Strategy",Executive
Senior Vice President Corporate Strategy,"Management,Strategy",Executive
Board Advisor/Member Corporate Development/Strategy Data Product/Market Development,"Marketing,Products,Strategy",Consultant
Global Board of Directors,Other,Manager
Vice President Business Development,"Management,Business",Executive
First Vice President and CIO,Management,Executive
Vice President Information Technology,Management,Executive
Founder and Chief Executive Officer,Management,Executive
Global Technology Practice Chair,Other,Other
Vice President Global Marketing,"Management,Marketing",Executive
Vice President of Marketing,"Management,Marketing",Executive
Vice President of Marketing Digital and Creative,"Management,Marketing",Executive
Senior Vice President Experience Strategy,"Management,Strategy",Executive
Strategy Consultant,"Consultant Services,Strategy",Consultant
Chief Finance Officer,"Management,Finances",Executive
Founder,Management,Other
Vice President Americas Portfolio Risk Management,Management,Executive
Consultant and Enterprise Business Development,"Consultant Services,Business",Consultant
Vice President SMB,Management,Executive
Vice President Local Platform,Management,Executive
Senior Vice President Operations,"Management,Operations",Executive
Vice President Marketing Consultant,"Consultant Services,Marketing,Management",Executive
CMO consultant,Consultant Services,Consultant
President,Management,Executive
Chief Brand Strategist and Founder,"Management,Strategy",Executive
Head of Marketing,Marketing,Other
Vice President Global Marketing and Licensing,"Management,Marketing",Executive
Asst Vice President,Management,Executive
Global Head Live Video,Other,Other
Senior Vice President Global Head of Video Distribution and Partnerships,Management,Executive
Chief Executive Officer,Management,Executive
President and CRO,Management,Executive
Publisher,Other,Other
Board of Directors,Other,Manager
Chief Revenue Officer,Management,Executive
President,Management,Executive
Senior Vice President and General Manager,Management,Executive
Chief Strategy Officer,"Management,Strategy",Executive
Lead Data Manager,Management,Manager
Guest Services,Services,Other
Managing Director,Management,Manager
Vice President World Wide Business Process and Control Head,"Management,Business",Executive
Associate Publisher ALL YOU,Consultant Services,Contributor
Vice President Product Development and Design Home Exclusive Brands,"Management,Products",Executive
Group Director Global Connections,Other,Manager
Member Global Board,Other,Other
Council Management Strategy Consultant,"Consultant Services,Management,Strategy",Consultant
Vice President Product Strategy Digital Consumer Banking,"Management,Products,Strategy",Executive
Vice President PRODUCT MARKETING PREMIUM DIGITAL PRODUCTS and REWARDS,"Management,Marketing,Products",Executive
Vice President Product Marketing - Premium Digital Products and Rewards,"Management,Marketing,Products",Executive
Vice President,Management,Executive
Head of Product Marketing,"Marketing,Products",Other
Vice President Consumer Products and Growth,"Management,Products",Executive
Vice President Product and Partner Marketing,"Management,Marketing,Products",Executive
Head Of Marketing,Marketing,Other
Senior Director Strategic Marketing,"Marketing,Strategy",Manager
Vice President Product Management and Marketing,"Management,Marketing,Products",Executive
Vice President Marketing and Business Development,"Management,Business,Marketing",Executive
Chief Executive Officer,Management,Executive
Head of Business Intelligence Americas | Director IT,Business,Manager
Head of Center of Excellence Business Intelligence Americas | Director Application Management,"Management,Business",Manager
Venture Partner,Management,Executive
President and Chief Executive Officer,Management,Executive
Senior Regional Director,Other,Manager
Senior Vice President Products,"Management,Products",Executive
Vice President Global Marketing,"Management,Marketing",Executive
General Manager Brand Unit,Management,Manager
Chief Marketing Officer,"Management,Marketing",Executive
Vice President Marketing,"Management,Marketing",Executive
Marketing Consultant,"Consultant Services,Marketing",Consultant
